YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,CC6,28,7
2026-04,WEEKDAY,16,TRAIN,SW8,1821,2184
2026-04,WEEKDAY,22,TRAIN,EW25,4144,14070
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,DT6,627,1713
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,NS24/NE6/CC1,127,103
2026-04,WEEKDAY,12,TRAIN,BP8,1504,1601
2026-04,WEEKDAY,5,TRAIN,PE5,2664,128
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,EW26,6124,17776
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,DT20,96,85
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2260,9257
2026-04,WEEKDAY,16,TRAIN,NS14,27221,34924
2026-04,WEEKDAY,22,TRAIN,BP11,588,3277
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,SE2,3175,1201
2026-04,WEEKDAY,16,TRAIN,EW6,9157,14524
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,PW6,157,695
2026-04,WEEKDAY,12,TRAIN,EW26,27795,14726
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,BP9,1078,1092
2026-04,WEEKDAY,0,TRAIN,SW7,15,420
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,NE8,25725,12006
2026-04,WEEKDAY,7,TRAIN,NS3,77798,21646
2026-04,WEEKDAY,22,TRAIN,EW16/NE3/TE17,18596,11958
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,BP3,1270,2500
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,CC12,3943,2200
2026-04,WEEKDAY,9,TRAIN,EW9,30513,22054
2026-04,WEEKDAY,9,TRAIN,NS5,39541,14813
2026-04,WEEKDAY,21,TRAIN,CC28,1767,5320
2026-04,WEEKDAY,21,TRAIN,TE19,11579,1798
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,DT18,2672,3581
2026-04,WEEKDAY,22,TRAIN,PW2,73,10
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,NS19,1064,342
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,EW10,5533,7038
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,NS3,7977,5047
2026-04,WEEKDAY,18,TRAIN,SW5,8041,18658
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,CC26,1129,1309
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,EW8/CC9,42016,30525
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,EW6,4505,5222
2026-04,WEEKDAY,7,TRAIN,CC14,18789,20403
2026-04,WEEKDAY,15,TRAIN,CC17/TE9,16265,7016
2026-04,WEEKDAY,14,TRAIN,CC20,8753,5416
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,9982,24697
2026-04,WEEKDAY,9,TRAIN,TE8,11782,11329
2026-04,WEEKDAY,0,TRAIN,DT5,181,1693
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,TE6,7217,2530
2026-04,WEEKDAY,13,TRAIN,TE28,5652,5513
2026-04,WEEKENDS/HOLIDAY,15,TRAIN,TE28,1641,2041
2026-04,WEEKDAY,21,TRAIN,EW5,20221,38659
2026-04,WEEKDAY,7,TRAIN,NE12/CC13,120015,71124
2026-04,WEEKENDS/HOLIDAY,17,TRAIN,DT23,2042,1751
2026-04,WEEKDAY,13,TRAIN,DT4,1866,1874
2026-04,WEEKDAY,9,TRAIN,PW2,202,298
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,TE8,6608,6306
2026-04,WEEKDAY,8,TRAIN,NE12/CC13,158956,50740
2026-04,WEEKDAY,21,TRAIN,DT8,3585,2923
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,EW31,2203,772
2026-04,WEEKENDS/HOLIDAY,20,TRAIN,SW4,680,2047
2026-04,WEEKDAY,9,TRAIN,TE19,2468,92299
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,DT6,2775,2623
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,SE5,1281,1412
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,DT4,10,165
2026-04,WEEKDAY,19,TRAIN,CC25,13058,10158
2026-04,WEEKDAY,22,TRAIN,DT5,6482,13396
2026-04,WEEKDAY,14,TRAIN,SW1,2857,3446
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,NE10,7272,7236
2026-04,WEEKDAY,20,TRAIN,CC10/DT26,13469,18761
2026-04,WEEKDAY,19,TRAIN,PW6,918,3821
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,DT7,1719,1772
2026-04,WEEKDAY,23,TRAIN,EW20,1951,5243
2026-04,WEEKDAY,23,TRAIN,DT23,1193,1198
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,CC7,1148,1028
2026-04,WEEKDAY,15,TRAIN,BP12,3378,2789
2026-04,WEEKDAY,6,TRAIN,TE3,20835,12679
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,TE27,3827,1619
2026-04,WEEKDAY,21,TRAIN,EW29,11926,6330
2026-04,WEEKDAY,20,TRAIN,CC12,4089,11486
2026-04,WEEKDAY,16,TRAIN,NE12/CC13,58706,74513
2026-04,WEEKDAY,5,TRAIN,TE13,27,129
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,DT33,18,1330
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,NS28,224,952
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,PE7,2009,2100
2026-04,WEEKENDS/HOLIDAY,23,TRAIN,NE17/PTC,2671,7726
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,NE9,422,3
2026-04,WEEKDAY,8,TRAIN,EW9,52084,37241
2026-04,WEEKDAY,7,TRAIN,CC19/DT9,9326,12269
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,NS4/BP1,16272,11173
2026-04,WEEKENDS/HOLIDAY,14,TRAIN,NS25/EW13,33856,37356
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,TE27,1897,891
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1930,880
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,NE7/DT12,23102,20360
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,CC10/DT26,8408,7444
2026-04,WEEKDAY,11,TRAIN,CC14,6737,3016
2026-04,WEEKDAY,15,TRAIN,CC3,6911,5398
2026-04,WEEKDAY,6,TRAIN,NE7/DT12,17374,15606
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,DT20,2406,1514
2026-04,WEEKENDS/HOLIDAY,0,TRAIN,NE18,0,314
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,TE8,4430,6067
2026-04,WEEKDAY,7,TRAIN,NS12,95035,22944
2026-04,WEEKENDS/HOLIDAY,11,TRAIN,TE13,2153,2247
2026-04,WEEKDAY,11,TRAIN,DT30,8761,2830
2026-04,WEEKENDS/HOLIDAY,16,TRAIN,EW7,6547,7358
2026-04,WEEKDAY,5,TRAIN,SE2,3318,79
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,DT23,1498,1590
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,EW4,9027,4239
2026-04,WEEKDAY,15,TRAIN,NE12/CC13,56786,62833
2026-04,WEEKENDS/HOLIDAY,22,TRAIN,NE8,16749,8434
2026-04,WEEKDAY,0,TRAIN,DT30,22,1086
2026-04,WEEKENDS/HOLIDAY,9,TRAIN,NE16/STC,22568,10656
2026-04,WEEKENDS/HOLIDAY,13,TRAIN,EW5,17354,15018
2026-04,WEEKENDS/HOLIDAY,20,TRAIN,NS4/BP1,12070,21664
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,CG2,5827,8456
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,EW30,2212,1492
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,EW11,5283,6044
2026-04,WEEKENDS/HOLIDAY,6,TRAIN,BP2,885,146
2026-04,WEEKENDS/HOLIDAY,21,TRAIN,NS23,26377,7204
2026-04,WEEKENDS/HOLIDAY,18,TRAIN,BP4,749,915
2026-04,WEEKDAY,18,TRAIN,EW32,23401,6038
2026-04,WEEKDAY,8,TRAIN,CC8,15527,5897
2026-04,WEEKDAY,11,TRAIN,NS13,39981,31031
2026-04,WEEKDAY,15,TRAIN,EW5,24840,31358
2026-04,WEEKENDS/HOLIDAY,5,TRAIN,BP8,371,108
2026-04,WEEKDAY,8,TRAIN,NS28,5057,4726
2026-04,WEEKDAY,14,TRAIN,CG2,23683,21226
2026-04,WEEKDAY,16,TRAIN,NS18,14451,15356
2026-04,WEEKENDS/HOLIDAY,19,TRAIN,SW7,681,1303
2026-04,WEEKENDS/HOLIDAY,8,TRAIN,TE23,1463,1296
2026-04,WEEKDAY,12,TRAIN,PE6,8806,6563
2026-04,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1493,477
2026-04,WEEKENDS/HOLIDAY,12,TRAIN,NS5,14970,10345
