YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-04,WEEKENDS/HOLIDAY,21.0,BUS,43659,57,47
2026-04,WEEKDAY,0.0,BUS,21621,14,9
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,1511,64,47
2026-04,WEEKDAY,7.0,BUS,63191,938,1630
2026-04,WEEKENDS/HOLIDAY,20.0,BUS,75379,85,55
2026-04,WEEKDAY,9.0,BUS,25751,4,111
2026-04,WEEKDAY,7.0,BUS,27051,14,193
2026-04,WEEKDAY,18.0,BUS,64019,1639,1618
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,46169,2,57
2026-04,WEEKDAY,17.0,BUS,77361,688,288
2026-04,WEEKDAY,7.0,BUS,58609,357,151
2026-04,WEEKDAY,14.0,BUS,68139,22,6
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,60261,646,639
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,84439,37,30
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,21469,48,9
2026-04,WEEKDAY,20.0,BUS,3339,0,4
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,11349,257,132
2026-04,WEEKENDS/HOLIDAY,19.0,BUS,53019,98,75
2026-04,WEEKDAY,18.0,BUS,44229,3206,4352
2026-04,WEEKDAY,17.0,BUS,52201,743,1077
2026-04,WEEKDAY,23.0,BUS,59789,5,21
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,80141,389,360
2026-04,WEEKDAY,18.0,BUS,67269,717,1282
2026-04,WEEKDAY,8.0,BUS,96231,40,14
2026-04,WEEKENDS/HOLIDAY,8.0,BUS,72139,25,32
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,63291,173,19
2026-04,WEEKDAY,9.0,BUS,85089,318,97
2026-04,WEEKDAY,7.0,BUS,45291,207,205
2026-04,WEEKDAY,9.0,BUS,93039,626,1537
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,43489,64,322
2026-04,WEEKDAY,12.0,BUS,84311,482,236
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,43431,290,275
2026-04,WEEKDAY,10.0,BUS,61111,707,169
2026-04,WEEKDAY,5.0,BUS,55229,0,60
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,58401,40,177
2026-04,WEEKENDS/HOLIDAY,17.0,BUS,82091,539,491
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,20331,23,199
2026-04,WEEKDAY,21.0,BUS,67141,211,496
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,47811,23,9
2026-04,WEEKDAY,9.0,BUS,50119,276,948
2026-04,WEEKENDS/HOLIDAY,6.0,BUS,14281,307,172
2026-04,WEEKENDS/HOLIDAY,12.0,BUS,96319,40,8
2026-04,WEEKDAY,21.0,BUS,83309,22,489
2026-04,WEEKDAY,22.0,BUS,62171,22,62
2026-04,WEEKENDS/HOLIDAY,14.0,BUS,46219,10690,518
2026-04,WEEKDAY,19.0,BUS,44259,10616,7528
2026-04,WEEKENDS/HOLIDAY,5.0,BUS,43259,34,1
2026-04,WEEKENDS/HOLIDAY,7.0,BUS,59211,557,93
2026-04,WEEKENDS/HOLIDAY,9.0,BUS,66601,108,192
2026-04,WEEKENDS/HOLIDAY,22.0,BUS,25381,0,6
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,44931,289,414
2026-04,WEEKDAY,11.0,BUS,84489,1386,1120
2026-04,WEEKENDS/HOLIDAY,13.0,BUS,75479,620,192
2026-04,WEEKENDS/HOLIDAY,10.0,BUS,11451,48,28
2026-04,WEEKDAY,10.0,BUS,43519,891,433
2026-04,WEEKENDS/HOLIDAY,23.0,BUS,76139,361,131
2026-04,WEEKDAY,10.0,BUS,11369,2841,3196
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,20081,28,38
2026-04,WEEKENDS/HOLIDAY,11.0,BUS,14211,36,96
2026-04,WEEKDAY,18.0,BUS,59169,7197,377
2026-04,WEEKDAY,6.0,BUS,46749,468,369
2026-04,WEEKDAY,7.0,BUS,43119,1051,1088
2026-04,WEEKENDS/HOLIDAY,16.0,BUS,46311,28,24
2026-04,WEEKDAY,12.0,BUS,98301,80,946
2026-04,WEEKDAY,9.0,BUS,53049,1650,1540
